Title,Publication Date,Author,Body,Tags,Featured Image
"Maps, Hare And Hounds, Kings Heath, 25/10 ",,dandavies23,"<strong>“Cycling to MAPS with new bike lights”</strong>

Was the first Tweet I sent out as I cycled up to <a href=""www.hareandhoundskingsheath.co.uk"">Hare And Hounds, Kings Heath </a> last night. My father-in-law had come round in the daytime and fixed my bike whilst I locked myself away in the study trying to get my head around Pixel Pipe. The up-hill pedal to the venue was an absolute pleasure. Nothing rattled for a change and I had brand new lights – one  attached to my bike and another pinned to the strap of my camera bag – to guide my way. 

I may have lost some of my cool by accidently leaving the camera bag flashing light on as I wandered up to the bar. But my mobile LED disco may have added further ambiance to Tour Eifel’s superb set. The new solo project from the former (much missed) Grandscope member was aided by his own visuals, which according to another former Grandscope member Hydey, had taken a week and a half to pull together. 
 
<strong>“Gutted only caught last song by Tour Eifel, quality electronica with home made visuals”</strong>

Tour Eifel should have been second not first as the next act didn’t really compliment the shoegazing frug of Maps instead being a falsetto voiced navel-gazing guitar player. 

<strong> “Maps kick off with It Will Find You followed by Papercuts” </strong>

A strong start indeed, Mark Chapman has now employed ‘a Dane’ to add extra texture on tour. It sounds superb and the new material swims happily alongside the old. About 5 songs in Chapman speaks and it’s then that I realise that he’s pretty ratted.

<strong>“Maps (chap)man is smashed but septembers provide more than ample support”</strong> I Tweet. 

And the fact I didn’t spot that predictive text made that message partially incoherent indicates my state too. It’s a funny situation actually that it’s quite alright for someone like Ozzy Osbourne can spend the best part of his music career off his face but live electronic acts should always be sober and serious whilst they prod away at a laptop. I blame Kraftwerk. 

<strong>“At some point in the near future you're going to choose between another pint or an album from Merch. How depressing is that?”</strong>

I Tweet before I head to the Merch store and find out that the new album is a <em>tenner</em>.  It is signed though, and quality is worth paying for. Besides my freewheeling downhill cycle saves forking out on a taxi and is about 30 times more enjoyable.
",,
"Pre-Efterklang, Asylum, 29/10","Wed, 19 Jun 2019 14:42:41 +0000",dandavies23,"Tonight I’m going to head off to see <a href=”http://www.efterklang.net/”>Efterklang</a> at a new Birmingham venue called <a href=”http://www.theasylumvenue.co.uk/”> The Asylum </a>. 

Still thinking of appropriate ways to write a music review for #Brum, I know that people have done Tweeting events before but trying to stop it being just a novelty and think about integrating it more effectively. 

If you are going tonight and you will be tapping away occasionally on a keypad, do let me know. If you would rather enjoy the experience but want to get in touch with me via a more traditional route then also let me know – although snail mail probably not the one. All suggestions and comments welcome, even if it’s ‘Why don’t you just enjoy the moment rather than try and trap it with technology?’

If you have just stumbled across this randomly and you live in Birmingham, you should definitely <a href=” http://www.capsule.org.uk/blog/?p=719”>come along</a> it’s going to be ace! 

If you’ve found it because you saw them at the Barbican last night, be great if you could let me know what to expect.","Gigs, MA Online Journalism",
Sprocket Cycles Interview,,dandavies23,http://dandavies23.files.wordpress.com/2010/01/sprockets-cycles-4mins.mp3,"random, Uncategorized",
Apple v Windows debate comes home,"Sun, 31 Jan 2010 13:51:52 +0000",dandavies23,"<a href=""http://www.flickr.com/photos/dandavies23/4319345302/"" title=""iPhone multi tasking by dandavies23, on Flickr""><img src=""http://farm3.static.flickr.com/2708/4319345302_80ae63b749.jpg"" width=""375"" height=""500"" alt=""iPhone multi tasking"" /></a>

Yesterday morning my wife's 3g iPhone arrived and it stirred mixed feelings in me. 

Like my strange mongrel approach to music, I don't side with either camp in a cod Mitchell-and-Webb-style. As a journalist who surfed the 'desktop publishing revolution' I've worked with both. And both have annoyed me.

My wife bought a G4 laptop last year, it was a nice bit of kit but its expense made me (and the wife) worry about taking it out and about, so I went for a Dell netbook. I was late getting an iPod, choosing instead to get more phone memory and put everything on my Sony Ericsson. 

It was only when we were flying back from San Francisco after ""The Drive Of Your Life"" that I succumbed and got two - from a <a href=""http://www.appleinsider.com/news.php?id=1060"">vending machine</a> in the airport!

So, two weeks ago Vodafone offered me a HTC Tattoo, a nifty little Android which I'm really enjoying. This is my first blog from it.

On Thursday Jules drops the iPhone bomb. I can't deny it is a thing of 'ubiquitous' beauty and plenty of people have pored over this fact. 

However, my Android has plenty of advantages - not least its easy integration with all things Google. It fits really nicely in my hand and feels sturdier. I won't worry about damaging it.

So Jules suffixed her iPhone delight with ""you can buy an iPad if you like"".

Maybe.

Maybe I'll hold out for the <a href=""http://dandavies23.tumblr.com/post/296748469/the-mag-video"">Mag+</a> which looks much more durable and hopefully a touch cheaper.","Android, apple, ipad, iPhone, ipod, technology, Uncategorized, Windows",
Total Politics Question Time,"Tue, 18 Jun 2019 11:22:22 +0000",dandavies23,"<a href=""http://www.coveritlive.com/index.php?option=com_altcaster&amp;task=siteviewaltcast&amp;altcast_code=c389e4867f&amp;height=550&amp;width=470"">&lt;iframe src=""</a><a href=""http://www.coveritlive.com/index2.php/option=com_altcaster/task=viewaltcast/altcast_code=c389e4867f/height=550/width=470"" target=""_blank"" rel=""noopener noreferrer"">http://www.coveritlive.com/index2.php/option=com_altcaster/task=viewaltcast/altcast_code=c389e4867f/height=550/width=470</a>"" scrolling=""no"" height=""550px"" width=""470px"" frameBorder =""0"" allowTransparency=""true""  &gt;&lt;a href=""<a href=""http://www.coveritlive.com/mobile.php/option=com_mobile/task=viewaltcast/altcast_code=c389e4867f"" target=""_blank"" rel=""noopener noreferrer"">http://www.coveritlive.com/mobile.php/option=com_mobile/task=viewaltcast/altcast_code=c389e4867f</a>"" &gt;Total Politics Question Time&lt;/a&gt;&lt;/iframe&gt;","random, Uncategorized",
Noisy Neighbour - detail and action,"Wed, 10 Feb 2010 07:47:09 +0000",dandavies23,"It's 7am now and I'm moving slowly into an acceptable time to be awake... however again this morning I've been woken up by my noisy neighbour. This is the seventh time in three weeks since she moved in and it's driving me mad.

To hear me speaking about it in a frayed, rambling and borderline delirious manner click on the below boo.

<object id=""iefix1"" classid=""clsid:d27cdb6e-ae6d-11cf-96b8-444553540000"" width=""400"" height=""129"" codebase=""http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=6,0,40,0""><param name=""data"" value=""http://boos.audioboo.fm/swf/fullsize_player.swf"" /><param name=""scale"" value=""noscale"" /><param name=""salign"" value=""lt"" /><param name=""bgColor"" value=""#FFFFFF"" /><param name=""allowScriptAccess"" value=""always"" /><param name=""wmode"" value=""window"" /><param name=""FlashVars"" value=""mp3=http%3A%2F%2Faudioboo.fm%2Fboos%2F97005-what-do-i-do-with-my-noisy-neighbour.mp3&amp;mp3Author=dandavies23&amp;mp3LinkURL=http%3A%2F%2Faudioboo.fm%2Fboos%2F97005-what-do-i-do-with-my-noisy-neighbour&amp;mp3Title=What+do+I+do+with+my+noisy+neighbour%3F&amp;mp3Time=07.00am+10+Feb+2010"" /><param name=""src"" value=""http://boos.audioboo.fm/swf/fullsize_player.swf"" /><param name=""bgcolor"" value=""#FFFFFF"" /><param name=""flashvars"" value=""mp3=http%3A%2F%2Faudioboo.fm%2Fboos%2F97005-what-do-i-do-with-my-noisy-neighbour.mp3&amp;mp3Author=dandavies23&amp;mp3LinkURL=http%3A%2F%2Faudioboo.fm%2Fboos%2F97005-what-do-i-do-with-my-noisy-neighbour&amp;mp3Title=What+do+I+do+with+my+noisy+neighbour%3F&amp;mp3Time=07.00am+10+Feb+2010"" /><embed id=""iefix1"" type=""application/x-shockwave-flash"" width=""400"" height=""129"" src=""http://boos.audioboo.fm/swf/fullsize_player.swf"" flashvars=""mp3=http%3A%2F%2Faudioboo.fm%2Fboos%2F97005-what-do-i-do-with-my-noisy-neighbour.mp3&amp;mp3Author=dandavies23&amp;mp3LinkURL=http%3A%2F%2Faudioboo.fm%2Fboos%2F97005-what-do-i-do-with-my-noisy-neighbour&amp;mp3Title=What+do+I+do+with+my+noisy+neighbour%3F&amp;mp3Time=07.00am+10+Feb+2010"" wmode=""window"" allowscriptaccess=""always"" bgcolor=""#FFFFFF"" salign=""lt"" scale=""noscale"" data=""http://boos.audioboo.fm/swf/fullsize_player.swf""></embed></object>

I realise I'm not doing you any favours by revealing her identity but here are some facts:
<ul>
	<li>She is in her mid-twenties</li>
	<li>She is from Southmead in Bristol</li>
	<li>She clatters around the house all times of the day, and plays her rubbish local radio too loud</li>
	<li>She has a brutish boyfriend who she doesn't get on well with</li>
	<li>She laughs like a drain</li>
	<li>I know I'm not in the best position to talk, but she clearly has no job</li>
	<li>She appears to be an alcoholic</li>
	<li>Her night time moods swing from partytime to argument to shouting that she doesn't 'Give a fuck' at the top of her lungs</li>
	<li>Her unacceptable hours are between midnight and 5:50am in the morning</li>
</ul>
As I explained in my boo, I'm looking for ways to resolve this. I've tried going round twice and being reasonable. I've written a letter and thrown it away and I've told my landlord.

Where do I go next?",Uncategorized,
Confronting Noisy Neighbours,"Wed, 10 Feb 2010 14:53:16 +0000",dandavies23,"I post this morning about my <a href=""http://www.dandavies23.com/2010/02/noisy-neighbour-detail-and-action/"">noisy neighbours</a>. Well encouraged by some of your comments me and the wife went round. I edited the audio as it was windy and got a bit boring and repetitive.

[audio: http://dandavies23.files.wordpress.com/2010/02/noisyneighbourchat5mins.mp3]

<!--more-->

Here's the same argument in Boo form

<object id=""iefix1"" classid=""clsid:d27cdb6e-ae6d-11cf-96b8-444553540000"" width=""400"" height=""129"" codebase=""http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=6,0,40,0""><param name=""data"" value=""http://boos.audioboo.fm/swf/fullsize_player.swf"" /><param name=""scale"" value=""noscale"" /><param name=""salign"" value=""lt"" /><param name=""bgColor"" value=""#FFFFFF"" /><param name=""allowScriptAccess"" value=""always"" /><param name=""wmode"" value=""window"" /><param name=""FlashVars"" value=""mp3=http%3A%2F%2Faudioboo.fm%2Fboos%2F97077-confronting-the-noisy-neighbour.mp3&amp;mp3Author=dandavies23&amp;mp3LinkURL=http%3A%2F%2Faudioboo.fm%2Fboos%2F97077-confronting-the-noisy-neighbour&amp;mp3Title=Confronting+The+Noisy+Neighbour&amp;mp3Time=02.41pm+10+Feb+2010"" /><param name=""src"" value=""http://boos.audioboo.fm/swf/fullsize_player.swf"" /><param name=""bgcolor"" value=""#FFFFFF"" /><param name=""flashvars"" value=""mp3=http%3A%2F%2Faudioboo.fm%2Fboos%2F97077-confronting-the-noisy-neighbour.mp3&amp;mp3Author=dandavies23&amp;mp3LinkURL=http%3A%2F%2Faudioboo.fm%2Fboos%2F97077-confronting-the-noisy-neighbour&amp;mp3Title=Confronting+The+Noisy+Neighbour&amp;mp3Time=02.41pm+10+Feb+2010"" /><embed id=""iefix1"" type=""application/x-shockwave-flash"" width=""400"" height=""129"" src=""http://boos.audioboo.fm/swf/fullsize_player.swf"" flashvars=""mp3=http%3A%2F%2Faudioboo.fm%2Fboos%2F97077-confronting-the-noisy-neighbour.mp3&amp;mp3Author=dandavies23&amp;mp3LinkURL=http%3A%2F%2Faudioboo.fm%2Fboos%2F97077-confronting-the-noisy-neighbour&amp;mp3Title=Confronting+The+Noisy+Neighbour&amp;mp3Time=02.41pm+10+Feb+2010"" wmode=""window"" allowscriptaccess=""always"" bgcolor=""#FFFFFF"" salign=""lt"" scale=""noscale"" data=""http://boos.audioboo.fm/swf/fullsize_player.swf""></embed></object>

A few things occurred to me:
<ul>
	<li>She's a fucking Levellers fan but clearly has never listened to the lyrics from <a href=""http://www.youtube.com/watch?v=AezhGLq_kPE"">15 Years.</a></li>
	<li>After denying that she was ever in the house we were able to get her to admit to disturbing us at least seven times.</li>
	<li>After claiming the noise wasn't her, she admitted it probably was</li>
	<li> She also admitted that making a noise, particularly in the week was a pain, and acknowledged we were upset.</li>
	<li>She claims to be ""young and that's what young people are like"" but listens to The Levellers</li>
</ul>
We asked her to keep the noise down between 11 and 7am. If she does it at the weekend we will ""buzz"" her flat if it's disturbing us. We will take this further if the situation continues. Probably the way of Orange_Monkey, not Drake Scorpio (yet)

Thanks for all of your suggestions, violent and non-violent alike. If there's any psychologists reading this who can analyse how successful this argument was then I'd love to hear what you thought!

Here's that Levellers song:
[youtube=http://www.youtube.com/watch?v=AezhGLq_kPE]","abatement, anti-social behaviour, Noise, Uncategorized",
Re:Cycling Experiment,,dandavies23,"<em>If you’re were a Hashbrum subscriber, or are a regular reader of this blog you may have noticed a recent obsession with cycling. The reason for this is it formed part of my MA Online Journalism course. I've split my assignment into three parts.
</em>

<strong>Part 1 – Pedalling The Raw Data</strong>

<a href=""http://www.dandavies23.com/wp-content/uploads/2010/02/245.jpg""><img src=""http://www.dandavies23.com/wp-content/uploads/2010/02/245-225x300.jpg"" alt="""" title=""Fort Dunlop &#039;P&#039;"" width=""225"" height=""300"" class=""alignnone size-medium wp-image-291"" /></a>

This feature began with a simple observation, I'd started hearing and reading more news stories where cyclists had been involved in accidents. This interested me because I had been cycling into work. Working at Metro Newspapers at Fort Dunlop, I considered pitching a story to Birmingham Post about commuter cycling so I filed a Freedom Of Information (FOI) request on road deaths involving cyclists in the West Midlands.

When I started this course I began to think about different ways in which story could be told. My FOI request came through and I decided to map the deaths. I felt mapping could graphically represent the accidents which would help cyclists think about how they ride in that area. However, my FOI request had a significant flaw, the accidents were not located. 

I put the FOI on the HashBrum site alongside the map and set about trying to find the accident locations via news stories and police reports. I also launched an investigation on <a href=”http://bit.ly/5agnST"">Help Me Investigate</a>. 

“The first step in community organizing is to listen… you show that you are willing to not only listen to other voices in your online community, but to amplify them. That takes you into the second step in community organizing, building relationships.”(<a href=”http://www.ojr.org/ojr/people/robert/201001/1810/"">Niles</a>)

I responded to each comment and I hope I succeeded in what Axel Bruns would call “dialogic, coversational, unfinished news” (2005, 53.) People showed me other experiments that were taking place, other data that was available and successful national mash-up maps. 

I was encouraged by the different experiments taking place but they all stopped short of what I wanted for HashBrum. Dave Harte showed me a mash-up created by <a href=”http://bit.ly/4TSmaq”>Times Online</a> made from data which had been passed to me the day before. In December, I was shown a UK Crash Map on the <a href=”http://bit.ly/75JRkD”>BBC site</a>. They were expansive but I wanted something more local and with more detail.  

I was told about a similar investigation that was taking place in <a href=”http://bit.ly/7KFfmt”>New York</a> but no results had been mapped. Hannah Waldram was inspired by my experiment and launched a similar Help Me Investigate for Cardiff which I duly joined. 

“Digital age journalism is now also interactive. Until recently it was a one-way process... this is no longer the case. Discussion and debate over all kinds of issues is enhanced by the digital age.” (Herbert 2000, 2) 

I also received attention from the cycling community in Birmingham, including CTC and <a href=”http://birminghamcyclist.ning.com/”>Birmingham Cyclist Blog</a> and they both started following me on Twitter. One person who runs the Birmingham bike forum also contacted me in the New Year when a cyclist was involved in a serious collision in Solihull; I worked this fact into my story.

However, I was frustrated that I, or anyone else for that matter, couldn't find the older news stories to corroborate the FOI stats I had. I spotted another US site called <a href=”http://www.bikewise.org/”>Bikewise</a> they seemed to have access to full police reports.

I went hunting for other data. I discovered a site called SMIDSY (Sorry Mate I Didn't See You) a campaign launched by the Cycle Touring Club (CTC) which encouraged cyclists to report near misses and even get legal advice. I asked the administrator if I could access their data, they refused but were encouraging about the investigation. They offered some tips such as 'the cycling community prefers using the terms crash or collision rather than accident.' 

I decided the only data I could use was the UK government statistics. I decided I could marry the Birmingham pinpoints up with some of the missing FOI accidents. Following our mapping lesson I looked into ways put these stats on a map and then limit it to the Birmingham area. 

I launched another task using Help Me Investigate and spent many hours converting the stats to Longitude and Latitude and trying different sites that could accept a large amount of data. I tried Mapalist, Many Eyes, Google Earth Pro but I couldn't convert them. I contacted @Psychemedia a mash-up specialist but couldn't get it to work. When I disappeared into the world of Python I had to give up. 

Find out how I got back on my bike in <a href=”xxx”>part two</a>.","random, Uncategorized",
,,dandavies23,"For my MA Online Journalism I'm doing Production Labs placement with Village Underground, London. Following the last group <a href=""http://productionlab.posterous.com/minutes-from-village-underground-skype-meetin"">Skype meeting, () I thought it would be useful to do a case study on a venue that already has its online presence sorted. I managed to arrange a face to face meeting with Maryam Ashgari, a 28 minute edit of the meeting can be listened to below. 

[play]

But if you don't have half an hour to spare here are my conclusions. 

Website
The () Barbican website in its current state has been running for 9 months so it is a relatively new introduction. Maryam is still monitoring the success of her online experiments - the social media process and content production is still evolving. The website now highlights and flags up things that come up under the broad Barbican umbrella and it is also Maryam's job (in conjunction with an intern) to maintain other social media and keep a unified presence -  albeit not too rigid or dictatorial in tone or structure.

(conclusions: Village Underground is not nearly as big but a unified presence still needs to be maintained across all third party sites. I also discussed tone on these different sites, Maryam said (around 16 minutes) there is not really a discernable difference in register or style anymore. However, the main website draws from press releases so little bit of difference in content. The Barbican's tone across other social media is fairly rough and ready. In Village Underground's case I don't think there needs to be a register change.)

Facebook
Myspace is no longer really used by The Barbican and now () their Facebook site is the centre of their social media hub. Maryam talked about the importance of reacting to the community and answering any questions they had. If you don't react you lose the audience. She also mentioned posing questions or running small competition helped people interact with the site and gave them a reason for visiting. She also talked about the importance of not bombarding the audience via the Facebook mailing list. 

(conclusions: Although Village underground has a () Facebook site it's currently not very maintained, these tips will be really helpful to keeping an audience on the Facebook site interested and engaged.)  

Twitter
Barbican have only had a () presence here for the last 6 months or so but already it has proved successful. According to their analytics they rank in the top 30 arts organisations in the world (6:30 in). The tone on Twitter is even more informal and the conversation currency is fun. They also have played around with the form, recently conducting a successful Q&A with a renowned violinist. They capitalised on this event by taking photos and putting it on the (Flickr site) website.

(conclusions: Twitter needs to be set up and taken seriously, we chatted about it being a potential drain on resources. Maryam keeps this in check and only really responds to Tweets for an hour in the morning and afternoon. This is encouraging as there were concerns raised at the Skype meeting  that Twitter would take up too much time.)  

Last FM
Interestingly someone outside of the Barbican staff started a Last FM presence and still maintains the site, updating and playlists and live sets. According to their analytics Last FM is one of their most successful sites for converting into ticket sales. 

(conclusions: I hadn't even thought of using Last FM. It makes even more sense to compile a playlist and presence for Village Underground as it stages quite a lot of music events. It might also be good to get favourite tracks they think represent Village Underground or even ones that they play whilst working in the office and studio. GAnalytics)

YouTube
Their ()Barbican Channel has gained an incredible amount of recognition due to video footage of their most recent installation featuring bullfinches roosting on a guitar and amp. Although the footage was shot somewhere else it was re-editted by Barbican staff and succeeded on their channel, receiving over 600,000 views. 

[]

Also interestingly the PR team put YouTube links in their press releases and this was also a way that the buzz around this video built up. They have also just started a Vimeo account, the content is the same as YouTube but Vimeo is preferred by designers. This preference was also expressed by the Village Underground designer at the last Skype meeting. Maryam is currently looking at Tube Mogul a service that automatically puts the same content across different third party video sites. At the moment this is a paid for service.

(conclusions: Village Underground needs a Channel, there is plenty of material floating around YouTube but if it is brought into a channel it makes it easier to use and monitor. Use of video also needs to be thought about using it creatively. Maryam also mentioned she wanted to encourage more of a rough and ready approach to video, it's all very well having polished bits of video but the public want to also see exclusives, voxpops and behind the scenes action. These can all be readily done with Village Underground.)

Flickr
Barbican have a broad array of press shots, amateur snaps and even flip footage on their Flickr site. Much of Maryam's work is concerned with encouraging people to tag them up properly. Correctly tagged the images will also show up on the Barbican site's Flickr gallery and Facebook Flickr widget and twitpics, which encourages tagging. Maryam talked about how Flickr is helping to bring all three main sites together. 

(conclusions: pretty much the same as YouTube conclusions, there are pics out there they just need pulling together.)

Blogging
There was some talk about encouraging blogs for certain projects but it very much depends on the personality. I raised the point about what I'd noticed with the Liverpool Philharmonic blog, successful because the chief Conductor is charismatic. Maryam mentioned that person who blogs must be used to doing it, you can't force people to blog.

(conclusions no progression from the notes I made in my first stage research ())

Podcasts
Only a few podcasts have been produced so far but they have already gained recognition. The Barbican team have been told by iTunes that they might be mentioned in next month's Store Picks section. Obviously at the moment the focus is mainly on music but Maryam would like to start producing podcasts for other departments, particularly theatre and maybe even visual arts (discussion!)

(Conclusions: Podcasts might be too time consuming for the limited time that I am able to help Village Underground. However given the right training they are fairly easy to produce, maybe this is an element that can be introduced if an internship were to happen. I could quite easily train someone to produce decent audio)

All In The Analysis
Maryam has many success stories to tell about her approach to online. One overall element which seems key to me though is that the Google Analytics are key to measuring and proving that succes. I need to chat to Jowan the web designer about what analytics are in place and strengthen and consolidate them. What is clear is that there are quite a few piecemeal elements already started to all the social media bits, members of the public and archive material already exist. For my project I need to organise these parts and create a strategy for going forward. ",,
Birmingham In The Room,"Tue, 15 Jun 2010 11:37:39 +0000",dandavies23,"A small delegation of people presented to the City Of Culture judges on Wednesday 16th June. But being Social Media savvy types in this fair city, we got in the room too!

Below are all the interactions that took place on the day.

<iframe src=""http://www.coveritlive.com/index2.php/option=com_altcaster/task=viewaltcast/altcast_code=3251635924/height=550/width=470"" width=""470px"" height=""550px"" frameborder=""0"" scrolling=""no""><a href=""http://www.coveritlive.com/mobile.php/option=com_mobile/task=viewaltcast/altcast_code=3251635924"">Birmingham In The Room</a></iframe>

This live blog was also embedded on the <a href=""http://birminghamnewsroom.com/?p=11060"">Council website</a>

People either logged into the site or used the hashtag #intheroom. Here's a word cloud of the hashtag courtesy of <a href=""http://twitter.com/cmc1985"">@cmc1985</a>.

<a title=""Wordle: #intheroom Word Cloud"" href=""http://www.wordle.net/show/wrdl/2165845/%23intheroom_Word_Cloud""><img src=""http://www.wordle.net/thumb/wrdl/2165845/%23intheroom_Word_Cloud"" alt=""Wordle: #intheroom Word Cloud style="" /></a>

I also blogged about the day <a href=""http://www.dandavies23.com/2010/06/making-our-presence-known-intheroom/"">here</a>.","#Brum, Birmingham City of Culture, cityofculture, wecanwin",
